manuscript claim,current citation,exact claimed value,source supports it?,problem,correction required,verified source
Chronic oral verapamil exposure range at 240 mg/day,"none attached; sentence says only ""taken from the regulatory label"". Refs 3/4 are ivabradine documents",35-164 ng/mL total plasma,PARTIALLY,"Values are correct but UNCITED. Lower edge 35 ng/mL is NOT a label-reported concentration: it is AUC(0-24h) 841 ng*h/mL (FED) divided by 24. Upper edge 164 ng/mL is the FASTING Cmax. The band therefore pairs a fed time-average with a fasting peak.","Cite the verapamil label. State explicitly that the lower edge is an AUC-derived time-average (fed) and the upper edge a fasting Cmax, or reconstruct the band within one prandial state.","Verapamil Hydrochloride Extended-Release Tablets USP, CLINICAL PHARMACOLOGY: ""peak plasma verapamil concentrations of 79 ng/mL ... and AUC(0-24hr) of 841 ng-hr/mL"" (with food); ""peak plasma verapamil concentration was 164 ng/mL ... AUC(0-24hr) was 1,478 ng-hr/mL"" (fasting). DailyMed setid d1a0aa24-0f81-498a-8c25-5095b2bb8f57, rev 6/2010."
Chronic oral verapamil exposure range at 480 mg/day,"none attached; refs 3/4 are ivabradine documents",125-400 ng/mL total plasma,YES (value); NO (citation),"Value is verbatim from the verapamil label but UNCITED. Also a FORMULATION MISMATCH with the 240 mg band: this figure is for IMMEDIATE-RELEASE 120 mg every 6 h, whereas the 240 mg band is extended-release once daily.","Cite the verapamil label; state the formulation for each band, or note the mismatch explicitly.","Same label: ""Chronic oral administration of 120 mg of verapamil hydrochloride every 6 hours resulted in plasma levels of verapamil ranging from 125 to 400 ng/mL""."
Verapamil unbound fraction,"(13) Keefe, attached later to the 90.7/89.6 sentence",10.4%,YES,"Supported but the link is implicit: 10.4% = 100 - 89.6%, and ref 13 is only cited two sentences later against a different number.",Attach ref 13 at first use of 10.4% and state it is 1 minus the measured 89.6% bound fraction.,"Keefe DL, Yee YG, Kates RE. Clin Pharmacol Ther 29:21-26, 1981. PMID 6970111. Human 89.6 +/- 0.17% bound."
Verapamil molecular weight used for ng/mL to nM conversion,none (not stated in manuscript),454.6 g/mol (in code only),N/A,"Not a manuscript claim, but the conversion is unreproducible from the text. 454.6 is the free base; the label reports verapamil (base) so the choice is correct.",State the MW and that it is the free base in Methods 2.6 for reproducibility.,"Free-base MW of verapamil; used consistently in all 04_pharmacology scripts."
Ivabradine steady-state peak total concentration,(17) Choi 2013 [added in v6],19 ng/mL on 5 mg twice daily,YES,None. Verified verbatim.,None.,"Choi HY et al. Clin Ther 35:819-835, 2013. PMID 23755867: ""At steady state, mean Cmax,ss levels were 11, 19, and 42 ng/mL"" for 2.5/5/10 mg bid. Analyte measured as ivabradine by LC-MS/MS."
Ivabradine unbound fraction,none,30%,NOT CITED,"The 30% figure is used in the 12.2 nM derivation but has no citation anywhere in the manuscript. Ivabradine is ~70% plasma protein bound per the EU SmPC (ref 3).","Cite ref 3 (or a dedicated protein-binding source) at the 30% unbound figure.","Ivabradine SmPC states approximately 70% plasma protein binding; NOT yet verified verbatim in this audit - flagged."
Ivabradine molecular weight used for the conversion,none (stated inline as 468.6),468.6 g/mol,YES (implicitly),"Free-base MW. Correct because Choi 2013 measured ivabradine (not the hydrochloride, MW 505.05). Had the salt MW applied, 12.2 nM would have been 11.3 nM.",State that 468.6 is the free base and that the assay measured ivabradine base.,"Choi 2013 methods: ""levels of ivabradine and its metabolite S18982 were determined by using validated LC-MS/MS""."
Ivabradine human HCN4 half-block concentration,(15) Bucchi 2006,approximately 2.0 uM,YES,None. Verified verbatim against the primary abstract.,None.,"Bucchi A et al. J Physiol 572:335-346, 2006. PMID 16484306: ""half-block concentrations of 0.94 microM for mHCN1 and 2.0 microM for hHCN4"", HEK 293 cells."
Ivabradine Hill slope,(15) Bucchi 2006,0.80,YES,"RESOLVED 2026-08-23 from the full text (PMC1779671). The abstract omits the Hill coefficient, which is why the earlier abstract-only check could not confirm it; the Results section reports it explicitly. It is a FITTED parameter of the concentration-response, not an assumed slope.","None. Optionally state in Methods that 0.80 is the fitted Hill factor for hHCN4 from ref 15 (n = 23, HEK 293).","Bucchi A, Tognati A, Milanesi R, Baruscotti M, DiFrancesco D. J Physiol 572(Pt 2):335-346, 2006. PMID 16484306, PMC1779671. Results, ""Ivabradine blocks HCN4 and HCN1 channels"", Fig. 1C: ""Fitting data points with the Hill equation resulted in half-block concentrations of 2.0 and 0.94 microM and slope coefficients of 0.8 and 1.2 for HCN4 (n = 23) and HCN1 (n = 27) channels, respectively."" HEK 293, -100 mV activating step from -35 mV holding."
Verapamil L-type IC50 and Hill,(10) Crumb 2016,198.7 nM / Hill 1.09,YES (as described in v6),"Not the panel's tabulated value (202 nM) but a project refit to the panel's concentration-response data; v6 now states this. Provenance file: outputs/_sim0/Crumb_Fits.csv.",None - corrected in v6.,"outputs/_sim0/Crumb_Fits.csv: ""Fit reproduces author's ~202 nM value""; Crumb WJ et al. J Pharmacol Toxicol Methods 81:251-262, 2016."
