claim,manuscript_location,reported_value,verified_value,source_file,generating_script,status,notes
worst baseline deviation,"§2.1, §3.1, Fig1",0.99%,0.99%,step1_baseline.json,01_baseline/run_baseline.py,MATCH,
cycle length reproduced,"§2.1, §3.1",813.42 ms,813.42 ms,step1_baseline.json,01_baseline/run_baseline.py,MATCH,
CL SD across beats,"§2.1, §3.1",0.0386 ms,0.0386 ms,step1_baseline.json,01_baseline/run_baseline.py,MATCH,
LHS pool size,§2.2,5000 models,5000 generated,step2_lhs_sample.npz (5000x12),02_sampling/generate_lhs.py,INCOMPLETE,Pool genuinely contains 5000 vectors; only 940 were simulated. Methods does not state this.
LHS seed,§2.2,20260816,20260816,step2_sampling.json,02_sampling/generate_lhs.py,MATCH,Sample regenerates BIT-IDENTICALLY from this seed on scipy 1.17.1
LHS sample SHA256,§2.2,681f8fc6b8963467ace9f047a37e5a599ec1b92fc8c87c9ccfac5f8b214b9d35,f6867756c3589bacc6457351ff15af3e48664f09e176035a96ea68fdb9d7b238,step2_lhs_sample.npz,05_manuscript/... rehash,MISMATCH,"Digest is of the .npz FILE, and savez_compressed embeds timestamps, so it is not content-stable. Arrays verified identical to regeneration."
models simulated,§3.1,940,940,step3fix_run_statefix.json,03_population/run_population.py,MATCH,Contiguous indices 0-939 of the 5000-row pool
stable rhythm,§3.1,539,539,step3fix_run_statefix.json,03_population/run_population.py,MATCH,
did not pace,§3.1,401,401,step3fix_run_statefix.json,03_population/run_population.py,MATCH,
solver failures,§3.1,0,0,step3fix_run_statefix.json,03_population/run_population.py,MATCH,
retained models,"Abstract, §3.1, Figs 1-3",188,188,step3fix_run_statefix.json,06_audit/taskP_value_audit.py,MATCH,Independently recomputed by re-applying retention criteria to raw records
retention fraction,"Abstract, §3.1",20.0%,20.0%,step3fix_run_statefix.json,06_audit/taskP_value_audit.py,MATCH,
retention Wilson 95% CI,"Abstract, §3.1, Fig1",17.6-22.7%,17.6%-22.7%,computed from 188/940,06_audit/taskP_value_audit.py,MATCH,
Zhou reference retention,"Abstract, §3.1",1046/5000 = 20.9%,1046/5000 = 20.9%,config.yaml / Zhou et al.,03_population/run_population.py,MATCH,
retained rate range,§3.1,61.0-99.6 bpm,61.0-99.6 bpm,step3fix_run_statefix.json,06_audit/taskP_value_audit.py,MATCH,
retained median rate,"§3.1, Fig1",82.2 bpm,82.2 bpm,step3fix_run_statefix.json,06_audit/taskP_value_audit.py,MATCH,
retention before state fix,§3.1,187,187,statefix_comparison.json,03_population/aggregate_and_freeze.py,MATCH,
retention after state fix,§3.1,188,188,statefix_comparison.json,03_population/aggregate_and_freeze.py,MATCH,
retained under both,§3.1,187,187,statefix_comparison.json,03_population/aggregate_and_freeze.py,MATCH,
moved rejected->retained,§3.1,1,1,statefix_comparison.json,03_population/aggregate_and_freeze.py,MATCH,"Model index 200: no_pacing -> ok, CL 937.59 ms, OS 28.58 mV"
mean |dCL|,§3.1,0.909 ms,0.909 ms,statefix_comparison.json,03_population/aggregate_and_freeze.py,MATCH,
max |dCL|,§3.1,241.4 ms,241.4 ms,statefix_comparison.json,03_population/aggregate_and_freeze.py,MATCH,
total sim records,§3.1,"65,424","65,424",taskG_pair_checkpoint.jsonl,05_manuscript/taskM_manifest.py,MATCH,
unique sims,"§3.1, §5","59,784","59,784",taskG_pair_checkpoint.jsonl,05_manuscript/taskM_manifest.py,MATCH,
re-executions,§3.1,"5,640","5,640",taskG_pair_checkpoint.jsonl,05_manuscript/taskM_manifest.py,MATCH,
determinism disagreements,§3.1,none (0),0,taskG_pair_checkpoint.jsonl,05_manuscript/taskM_manifest.py,MATCH,
I_CaL median threshold,"Abstract, §3.2, Fig2",40.0%,40.0%,taskA_summary.json,04_pharmacology/taskA_analyse.py,MATCH,
I_CaL IQR,"Abstract, §3.2, Fig2",30.0-51.25%,0.3-51.25% (0.30-0.5125),taskA_summary.json,04_pharmacology/taskA_analyse.py,MATCH (figure disagrees),v4 text now correct at 51.25%; generated Figure 2 still prints 51%
I_CaL threshold range,"Abstract, §3.2, Fig2",10.0-80.0%,10.0%-80.0%,taskA_summary.json,04_pharmacology/taskA_analyse.py,MATCH,
I_f never quiescent,"Abstract, §3.2, Fig2",176 of 188 (93.6%),176 of 188 (93.6%),taskA_summary.json,04_pharmacology/taskA_analyse.py,MATCH,
fraction reaching -10 bpm via I_f,§3.2,66.5%,66.5%,taskA_summary.json,04_pharmacology/taskA_analyse.py,MATCH,
median max I_f rate reduction,§3.2,15.9 bpm,15.9 bpm,taskA_summary.json,04_pharmacology/taskA_analyse.py,MATCH,
non-monotone ladders,§3.2,none,0,taskA_G_*_population_sweep.json,04_pharmacology/population_block_sweep.py,MATCH,
anchor block Doesch primary,"Abstract, §2.6, §3.3",58.4%,58.4%,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
in vitro fold gap Doesch primary,"Abstract, §3.3, §4.1",250-fold,250.5-fold,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH (rounded),Rounded in manuscript
anchor block 10-year,"Abstract, §2.6, §3.3",50.9%,50.9%,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
in vitro fold gap 10-year,"Abstract, §3.3, §4.1",172-fold,171.5-fold,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH (rounded),Rounded in manuscript
anchor block 36-month superseded,"Abstract, §2.6, §3.3",31.2%,31.2%,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
in vitro fold gap 36-month superseded,"Abstract, §3.3, §4.1",61-fold,61.0-fold,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH (rounded),Rounded in manuscript
re-solved IC50 (primary),§2.6,7.98 nM,7.98 nM,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
primary anchor arms,§2.6,58.40 / 70.97 / 77.17%,58.40 / 70.97 / 77.17%,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
"Hill sensitivity, 2x arm",§2.6,68.0-76.3%,68.0-76.3%,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
EAR 480 mg/day 36-month 1x (control),"Abstract, §3.3",6.9% (4.1-11.5),6.9% (4.1-11.5),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=13, n=188; CI reproduces from count/denominator"
EAR 480 mg/day Doesch 1x (control),"Abstract, §3.3",16.0% (11.4-21.9),16.0% (11.4-21.9),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=30, n=188; CI reproduces from count/denominator"
EAR 480 mg/day 10-year 1x (control),§3.3,12.8% (8.7-18.3),12.8% (8.7-18.3),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=24, n=188; CI reproduces from count/denominator"
EAR 240 mg/day Doesch 1x (control),§3.4,4.3% (2.2-8.2),4.3% (2.2-8.2),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=8, n=188; CI reproduces from count/denominator"
EAR 240 mg/day Doesch 2x (control),§3.4,5.9% (3.3-10.2),5.9% (3.3-10.2),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=11, n=188; CI reproduces from count/denominator"
EAR 480 mg/day Doesch 2x (control),§3.4,18.6% (13.7-24.8),18.6% (13.7-24.8),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=35, n=188; CI reproduces from count/denominator"
EAR 480 mg/day Doesch 3x (control),§3.4,18.1% (13.2-24.2),18.1% (13.2-24.2),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=34, n=188; CI reproduces from count/denominator"
EAR 480 mg/day Doesch 1x (iso),§3.4,12.5% (8.3-18.4),12.5% (8.3-18.4),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=21, n=168; CI reproduces from count/denominator"
EAR 480 mg/day Doesch 2x (iso),§3.4,14.3% (9.8-20.4),14.3% (9.8-20.4),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=24, n=168; CI reproduces from count/denominator"
EAR 480 mg/day Doesch 3x (iso),§3.4,19.0% (13.8-25.7),19.0% (13.8-25.7),taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,"k=32, n=168; CI reproduces from count/denominator"
free verapamil 240 mg/day,§3.4,8.0-37.5 nM,8.0-37.5 nM,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
free verapamil 480 mg/day,§3.4,28.6-91.5 nM,28.6-91.5 nM,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
I_CaL block 240 (Ba),§3.4,2.9-14.0%,2.9%-14.0%,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
I_CaL block 480 (Ba),§3.4,10.8-30.0%,10.8%-30.0%,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
Ca-corrected block 480,§3.4,36.6-67.2%,36.6%-67.2%,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
verapamil IC50 (Ba),§2.6,198.7 nM (working); 202 nM reported,202 nM is what ref 10 reports,outputs/_crumb.txt (Crumb 2016 text),hardcoded literal in all 04_pharmacology scripts,UNSUPPORTED,NO derivation of 198.7 exists anywhere in the project. An early script (sweep_ical_block.py) used 202. The v4 claim of 'Hill-consistent re-solution' is unsupported by any code.
verapamil unbound fraction,§2.6,10.4%,10.4%,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
verapamil Hill,§2.6,1.09,1.09,taskH_exposure.json,04_pharmacology/taskH_analyse.py,MATCH,
"PK-only, 240 time-avg (control)",§3.6,-2.60 bpm,-2.60 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
"PD-only, 240 time-avg (control)",§3.6,-2.26 bpm,-2.26 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
"PD-only, 480 peak (control)",§3.6,-18.29 bpm,-18.29 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
Iso PK/PD at 240 time-avg,§3.6,-4.43 / -1.17 bpm,-4.43 / -1.17 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
Iso low-dose PK:PD ratio,§3.6,approximately four-fold,3.77-fold,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH (rounding flatters),3.77 rounded up to 'four-fold' overstates slightly
"predicted dHR, control, time-avg",§3.7,-4.44 bpm,-4.44 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
ratio to reported 5 bpm,§3.7,0.89,0.89,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
"predicted dHR, Iso, time-avg",§3.7,-6.19 bpm,-6.19 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
"predicted dHR, Cmax sensitivity",§3.7,-11.24 bpm,-11.24 bpm,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MATCH,
full ratio span across anchors/points,§3.7,0.83 to 2.34,0.83 to 2.43,taskN_primary_anchor.json,04_pharmacology/taskN_primary_anchor_decomposition.py,MISMATCH,
non-invariant Bliss pairs,"§3.5, Fig4",diltiazem x verapamil; diltiazem x ivabradine,diltiazem x verapamil; diltiazem x ivabradine,taskE_interaction_invariance.json,04_pharmacology/taskE_interaction_invariance.py,MATCH,
"informative rungs, dilt x verap",§3.5,6,6,taskE_interaction_invariance.json,04_pharmacology/taskE_interaction_invariance.py,MATCH,
"informative rungs, dilt x ivab",§3.5,7,7,taskE_interaction_invariance.json,04_pharmacology/taskE_interaction_invariance.py,MATCH,
verap x mexiletine,§3.5,super-additive at all 5,['SUPER-ADDITIVE'] at 5,taskE_interaction_invariance.json,04_pharmacology/taskE_interaction_invariance.py,MISMATCH,
verap x ivabradine,§3.5,additive at all 4,['additive'] at 4,taskE_interaction_invariance.json,04_pharmacology/taskE_interaction_invariance.py,MISMATCH,
anchor-driven movement,"New&Noteworthy, Abstract, §4",2.3-fold,2.319-fold,derived from taskL_three_anchor_EAR.json,06_audit/taskP_value_audit.py,MATCH (derived),"Derived, not read; absent from the values manifest"
Iso denominator,"§2.7, §3.4, Fig3",168,168,taskL_three_anchor_EAR.json,04_pharmacology/taskL_analyse.py,MATCH,
